Entidad,Monto,Contrato,Fecha,Fecha2
ENTIDAD13,80776,CCE-prueba105,15/04/2021,17/abril/2021
ENTIDAD10,42735,CCE-prueba106,16/04/2021,18/abril/2021
ENTIDAD30,38363,CCE-prueba107,17/04/2021,19/abril/2021
ENTIDAD29,18483,CCE-prueba108,18/04/2021,20/abril/2021
ENTIDAD9,61418,CCE-prueba109,19/04/2021,21/abril/2021
ENTIDAD27,68597,CCE-prueba110,20/04/2021,22/abril/2021
ENTIDAD28,16240,CCE-prueba111,21/04/2021,23/abril/2021
ENTIDAD31,70211,CCE-prueba112,22/04/2021,24/abril/2021
ENTIDAD26,50742,CCE-prueba113,23/04/2021,25/abril/2021
ENTIDAD6,77191,CCE-prueba114,24/04/2021,26/abril/2021
ENTIDAD19,22807,CCE-prueba115,25/04/2021,27/abril/2021
ENTIDAD20,49734,CCE-prueba116,26/04/2021,28/abril/2021
ENTIDAD24,31803,CCE-prueba117,27/04/2021,29/abril/2021
ENTIDAD5,83263,CCE-prueba118,28/04/2021,30/abril/2021
ENTIDAD5,87423,CCE-prueba119,29/04/2021,01/mayo/2021
ENTIDAD19,24006,CCE-prueba120,30/04/2021,02/mayo/2021
ENTIDAD26,33772,CCE-prueba121,01/05/2021,03/mayo/2021
ENTIDAD14,92046,CCE-prueba122,02/05/2021,04/mayo/2021
ENTIDAD7,46022,CCE-prueba123,03/05/2021,05/mayo/2021
ENTIDAD29,21251,CCE-prueba124,04/05/2021,06/mayo/2021
ENTIDAD26,93943,CCE-prueba125,05/05/2021,07/mayo/2021
ENTIDAD13,80843,CCE-prueba126,06/05/2021,08/mayo/2021
ENTIDAD32,62260,CCE-prueba127,07/05/2021,09/mayo/2021
ENTIDAD27,51215,CCE-prueba128,08/05/2021,10/mayo/2021
ENTIDAD18,64043,CCE-prueba129,09/05/2021,11/mayo/2021
ENTIDAD23,31357,CCE-prueba130,10/05/2021,12/mayo/2021
ENTIDAD10,56694,CCE-prueba131,11/05/2021,13/mayo/2021
ENTIDAD16,40567,CCE-prueba132,12/05/2021,14/mayo/2021
ENTIDAD14,92936,CCE-prueba133,13/05/2021,15/mayo/2021
ENTIDAD7,10019,CCE-prueba134,14/05/2021,16/mayo/2021
ENTIDAD30,33141,CCE-prueba135,15/05/2021,17/mayo/2021
ENTIDAD21,51983,CCE-prueba136,16/05/2021,18/mayo/2021
ENTIDAD14,33184,CCE-prueba137,17/05/2021,19/mayo/2021
ENTIDAD26,35569,CCE-prueba138,18/05/2021,20/mayo/2021
ENTIDAD15,10632,CCE-prueba139,19/05/2021,21/mayo/2021
ENTIDAD19,77627,CCE-prueba140,20/05/2021,22/mayo/2021
ENTIDAD33,74693,CCE-prueba141,21/05/2021,23/mayo/2021
ENTIDAD27,28034,CCE-prueba142,22/05/2021,24/mayo/2021
ENTIDAD28,54001,CCE-prueba143,23/05/2021,25/mayo/2021
ENTIDAD19,97776,CCE-prueba144,24/05/2021,26/mayo/2021
ENTIDAD18,34637,CCE-prueba145,25/05/2021,27/mayo/2021
ENTIDAD31,60895,CCE-prueba146,26/05/2021,28/mayo/2021
ENTIDAD21,96110,CCE-prueba147,27/05/2021,29/mayo/2021
ENTIDAD26,23142,CCE-prueba148,28/05/2021,30/mayo/2021
ENTIDAD14,99258,CCE-prueba149,29/05/2021,31/mayo/2021
ENTIDAD7,78703,CCE-prueba150,30/05/2021,01/junio/2021
ENTIDAD3,89906,CCE-prueba151,31/05/2021,02/junio/2021
ENTIDAD18,95082,CCE-prueba152,01/06/2021,03/junio/2021
ENTIDAD5,89708,CCE-prueba153,02/06/2021,04/junio/2021
ENTIDAD19,65732,CCE-prueba154,03/06/2021,05/junio/2021
ENTIDAD29,99115,CCE-prueba155,04/06/2021,06/junio/2021
ENTIDAD30,81332,CCE-prueba156,05/06/2021,07/junio/2021
ENTIDAD8,11160,CCE-prueba157,06/06/2021,08/junio/2021
ENTIDAD3,57316,CCE-prueba158,07/06/2021,09/junio/2021
ENTIDAD13,22197,CCE-prueba159,08/06/2021,10/junio/2021
ENTIDAD3,76178,CCE-prueba160,09/06/2021,11/junio/2021
ENTIDAD33,51596,CCE-prueba161,10/06/2021,12/junio/2021
ENTIDAD17,44461,CCE-prueba162,11/06/2021,13/junio/2021
ENTIDAD19,15421,CCE-prueba163,12/06/2021,14/junio/2021
ENTIDAD32,63020,CCE-prueba164,13/06/2021,15/junio/2021
ENTIDAD5,64332,CCE-prueba165,14/06/2021,16/junio/2021
ENTIDAD4,34050,CCE-prueba166,15/06/2021,17/junio/2021
ENTIDAD29,27351,CCE-prueba167,16/06/2021,18/junio/2021
ENTIDAD17,54189,CCE-prueba168,17/06/2021,19/junio/2021
ENTIDAD16,56212,CCE-prueba169,18/06/2021,20/junio/2021
ENTIDAD24,21480,CCE-prueba170,19/06/2021,21/junio/2021
ENTIDAD24,78903,CCE-prueba171,20/06/2021,22/junio/2021
ENTIDAD4,37580,CCE-prueba172,21/06/2021,23/junio/2021
ENTIDAD7,81629,CCE-prueba173,22/06/2021,24/junio/2021
ENTIDAD25,29961,CCE-prueba174,23/06/2021,25/junio/2021
ENTIDAD5,50210,CCE-prueba175,24/06/2021,26/junio/2021
ENTIDAD13,22151,CCE-prueba176,25/06/2021,27/junio/2021
ENTIDAD2,21038,CCE-prueba177,26/06/2021,28/junio/2021
ENTIDAD2,50820,CCE-prueba178,27/06/2021,29/junio/2021
ENTIDAD11,17982,CCE-prueba179,28/06/2021,30/junio/2021
ENTIDAD25,54686,CCE-prueba180,29/06/2021,01/julio/2021
ENTIDAD11,71495,CCE-prueba181,30/06/2021,02/julio/2021
ENTIDAD22,32190,CCE-prueba182,01/07/2021,03/julio/2021
ENTIDAD8,84773,CCE-prueba183,02/07/2021,04/julio/2021
ENTIDAD3,68326,CCE-prueba184,03/07/2021,05/julio/2021
ENTIDAD27,45859,CCE-prueba185,04/07/2021,06/julio/2021
ENTIDAD15,19206,CCE-prueba186,05/07/2021,07/julio/2021
ENTIDAD23,74662,CCE-prueba187,06/07/2021,08/julio/2021
ENTIDAD4,89361,CCE-prueba188,07/07/2021,09/julio/2021
ENTIDAD28,26817,CCE-prueba189,08/07/2021,10/julio/2021
ENTIDAD27,57465,CCE-prueba190,09/07/2021,11/julio/2021
ENTIDAD11,28179,CCE-prueba191,10/07/2021,12/julio/2021
ENTIDAD2,62476,CCE-prueba192,11/07/2021,13/julio/2021
ENTIDAD28,81617,CCE-prueba193,12/07/2021,14/julio/2021
ENTIDAD28,62905,CCE-prueba194,13/07/2021,15/julio/2021
ENTIDAD24,43022,CCE-prueba195,14/07/2021,16/julio/2021
ENTIDAD4,36289,CCE-prueba196,15/07/2021,17/julio/2021
ENTIDAD5,73492,CCE-prueba197,16/07/2021,18/julio/2021
ENTIDAD22,95504,CCE-prueba198,17/07/2021,19/julio/2021
ENTIDAD28,56079,CCE-prueba199,18/07/2021,20/julio/2021
ENTIDAD28,10334,CCE-prueba200,19/07/2021,21/julio/2021
ENTIDAD9,46203,CCE-prueba201,20/07/2021,22/julio/2021
ENTIDAD10,91213,CCE-prueba202,21/07/2021,23/julio/2021
ENTIDAD10,76611,CCE-prueba203,22/07/2021,24/julio/2021
ENTIDAD23,51882,CCE-prueba204,23/07/2021,25/julio/2021
ENTIDAD17,88759,CCE-prueba205,24/07/2021,26/julio/2021
ENTIDAD20,56427,CCE-prueba206,25/07/2021,27/julio/2021
ENTIDAD4,60027,CCE-prueba207,26/07/2021,28/julio/2021
ENTIDAD16,35999,CCE-prueba208,27/07/2021,29/julio/2021
ENTIDAD7,58475,CCE-prueba209,28/07/2021,30/julio/2021
ENTIDAD13,81935,CCE-prueba210,29/07/2021,31/julio/2021
ENTIDAD5,16647,CCE-prueba211,30/07/2021,01/agosto/2021
ENTIDAD33,35048,CCE-prueba212,31/07/2021,02/agosto/2021
ENTIDAD33,91835,CCE-prueba213,01/08/2021,03/agosto/2021
ENTIDAD5,48772,CCE-prueba214,02/08/2021,04/agosto/2021
ENTIDAD8,40089,CCE-prueba215,03/08/2021,05/agosto/2021
ENTIDAD11,54473,CCE-prueba216,04/08/2021,06/agosto/2021
ENTIDAD14,34262,CCE-prueba217,05/08/2021,07/agosto/2021
ENTIDAD32,46714,CCE-prueba218,06/08/2021,08/agosto/2021
ENTIDAD33,45441,CCE-prueba219,07/08/2021,09/agosto/2021
ENTIDAD7,30182,CCE-prueba220,08/08/2021,10/agosto/2021
###########,######,####,###,###
ENTIDAD23,31889,CCE-prueba221,09/08/2021,12/agosto/2021
ENTIDAD14,77218,CCE-prueba222,10/08/2021,13/agosto/2021
ENTIDAD14,38308,CCE-prueba223,11/08/2021,14/agosto/2021
ENTIDAD24,29070,CCE-prueba224,12/08/2021,15/agosto/2021
ENTIDAD20,70688,CCE-prueba225,13/08/2021,16/agosto/2021
ENTIDAD21,26554,CCE-prueba226,14/08/2021,17/agosto/2021
ENTIDAD4,91941,CCE-prueba227,15/08/2021,18/agosto/2021
ENTIDAD30,28312,CCE-prueba228,16/08/2021,19/agosto/2021
ENTIDAD21,50892,CCE-prueba229,17/08/2021,20/agosto/2021
ENTIDAD20,71617,CCE-prueba230,18/08/2021,21/agosto/2021
ENTIDAD5,21194,CCE-prueba231,19/08/2021,22/agosto/2021
ENTIDAD32,20937,CCE-prueba232,20/08/2021,23/agosto/2021
ENTIDAD16,97567,CCE-prueba233,21/08/2021,24/agosto/2021
ENTIDAD17,50385,CCE-prueba234,22/08/2021,25/agosto/2021
ENTIDAD26,28844,CCE-prueba235,23/08/2021,26/agosto/2021
ENTIDAD7,94905,CCE-prueba236,24/08/2021,27/agosto/2021
ENTIDAD25,71383,CCE-prueba237,25/08/2021,28/agosto/2021
ENTIDAD16,11439,CCE-prueba238,26/08/2021,29/agosto/2021
ENTIDAD1,51920,CCE-prueba239,27/08/2021,30/agosto/2021
ENTIDAD14,70385,CCE-prueba240,28/08/2021,31/agosto/2021
ENTIDAD19,87175,CCE-prueba241,29/08/2021,01/septiembre/2021
ENTIDAD7,12032,CCE-prueba242,30/08/2021,02/septiembre/2021
ENTIDAD9,23155,CCE-prueba243,31/08/2021,03/septiembre/2021
ENTIDAD26,65298,CCE-prueba244,01/09/2021,04/septiembre/2021
ENTIDAD3,11700,CCE-prueba245,02/09/2021,05/septiembre/2021
ENTIDAD1,22230,CCE-prueba246,03/09/2021,06/septiembre/2021
ENTIDAD24,35360,CCE-prueba247,04/09/2021,07/septiembre/2021
ENTIDAD2,62286,CCE-prueba248,05/09/2021,08/septiembre/2021
ENTIDAD13,66190,CCE-prueba249,06/09/2021,09/septiembre/2021
ENTIDAD12,73436,CCE-prueba250,07/09/2021,10/septiembre/2021
ENTIDAD30,64634,CCE-prueba251,08/09/2021,11/septiembre/2021
ENTIDAD10,51235,CCE-prueba252,09/09/2021,12/septiembre/2021
ENTIDAD1,63698,CCE-prueba253,10/09/2021,13/septiembre/2021
ENTIDAD5,73175,CCE-prueba254,11/09/2021,14/septiembre/2021
ENTIDAD33,51659,CCE-prueba255,12/09/2021,15/septiembre/2021
ENTIDAD6,20245,CCE-prueba256,13/09/2021,16/septiembre/2021
ENTIDAD22,96084,CCE-prueba257,14/09/2021,17/septiembre/2021
ENTIDAD16,64476,CCE-prueba258,15/09/2021,18/septiembre/2021
ENTIDAD24,59020,CCE-prueba259,16/09/2021,19/septiembre/2021
ENTIDAD4,54483,CCE-prueba260,17/09/2021,20/septiembre/2021
ENTIDAD2,40506,CCE-prueba261,18/09/2021,21/septiembre/2021
ENTIDAD8,97390,CCE-prueba262,19/09/2021,22/septiembre/2021
ENTIDAD7,66484,CCE-prueba263,20/09/2021,23/septiembre/2021
ENTIDAD24,36781,CCE-prueba264,21/09/2021,24/septiembre/2021
ENTIDAD15,50748,CCE-prueba265,22/09/2021,25/septiembre/2021
ENTIDAD23,62238,CCE-prueba266,23/09/2021,26/septiembre/2021
ENTIDAD4,95476,CCE-prueba267,24/09/2021,27/septiembre/2021
ENTIDAD8,66004,CCE-prueba268,25/09/2021,28/septiembre/2021
ENTIDAD19,64358,CCE-prueba269,26/09/2021,29/septiembre/2021
ENTIDAD12,29020,CCE-prueba270,27/09/2021,30/septiembre/2021
ENTIDAD27,78624,CCE-prueba271,28/09/2021,01/octubre/2021
ENTIDAD2,59237,CCE-prueba272,29/09/2021,02/octubre/2021
ENTIDAD27,32665,CCE-prueba273,30/09/2021,03/octubre/2021
ENTIDAD9,35104,CCE-prueba274,01/10/2021,04/octubre/2021
ENTIDAD9,70140,CCE-prueba275,02/10/2021,05/octubre/2021
ENTIDAD24,71665,CCE-prueba276,03/10/2021,06/octubre/2021
ENTIDAD29,27034,CCE-prueba277,04/10/2021,07/octubre/2021
ENTIDAD25,83766,CCE-prueba278,05/10/2021,08/octubre/2021
ENTIDAD13,78105,CCE-prueba279,06/10/2021,09/octubre/2021
ENTIDAD2,43651,CCE-prueba280,07/10/2021,10/octubre/2021
ENTIDAD24,41383,CCE-prueba281,08/10/2021,11/octubre/2021
ENTIDAD25,59481,CCE-prueba282,09/10/2021,12/octubre/2021
ENTIDAD23,30214,CCE-prueba283,10/10/2021,13/octubre/2021
ENTIDAD3,37954,CCE-prueba284,11/10/2021,14/octubre/2021
ENTIDAD25,47957,CCE-prueba285,12/10/2021,15/octubre/2021
ENTIDAD9,11916,CCE-prueba286,13/10/2021,16/octubre/2021
ENTIDAD11,20480,CCE-prueba287,14/10/2021,17/octubre/2021
ENTIDAD16,21316,CCE-prueba288,15/10/2021,18/octubre/2021
ENTIDAD33,50613,CCE-prueba289,16/10/2021,19/octubre/2021
ENTIDAD25,29550,CCE-prueba290,17/10/2021,20/octubre/2021
ENTIDAD22,15501,CCE-prueba291,18/10/2021,21/octubre/2021
ENTIDAD29,63686,CCE-prueba292,19/10/2021,22/octubre/2021
ENTIDAD1,37477,CCE-prueba293,20/10/2021,23/octubre/2021
ENTIDAD1,35518,CCE-prueba294,21/10/2021,24/octubre/2021
ENTIDAD20,45465,CCE-prueba295,22/10/2021,25/octubre/2021
ENTIDAD2,95253,CCE-prueba296,23/10/2021,26/octubre/2021
ENTIDAD1,52715,CCE-prueba297,24/10/2021,27/octubre/2021
ENTIDAD9,52873,CCE-prueba298,25/10/2021,28/octubre/2021
ENTIDAD13,86802,CCE-prueba299,26/10/2021,29/octubre/2021
ENTIDAD15,96169,CCE-prueba300,27/10/2021,30/octubre/2021
